,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,1.216603834,1.139455094,1.06693696,1.043132478,1.025770698,1.029739053,1.070443138,1.126561886,1.060671182,1.013015588,1.015932927,1.006299697,1.381003038,2.466114173,1.099041751,1.096965575,1.079900208,1.181609733,1.180464268,1.178463187,1.279238911,1.024730453,1.01883769,1.016858156,1.093896246,1.097085705,1.103696425,1.124507451,1.026155741,1.11975954,1.337887527,3.235400729,1.140672972,1.34612985,1.036859095,1.274659334,1.049198611,1.045939054,1.19717186,1.012342926,1.164484683,1.019984618,1.022362776,1.016933835,1.023041804,1.005071374,1.207985204,1.027074214,1.002747252,1.002747252,1.006406016,1.353248084,1.005720039,1.023582651,1.165565603,0.36
MAR-26-18-00,1.002805788,1.002805788,1.011075123,1.002737901,1.00471097,1.012118439,1.094218688,1.174791234,1.057750476,1.09727605,1.015175479,1.009707758,1.391797733,1.62724669,1.016431505,1.004219074,1.091186132,1.172769973,1.039818358,1.100614951,1.013341341,1.015561129,1.006839125,1.006839125,1.195822134,1.083614569,1.048477906,1.107182758,1.026896096,1.118852514,2.027616501,1.062611214,1.335593158,1.457866446,1.340992276,1.268024032,1.040073701,1.040073701,1.009608668,1.01951557,1.000766419,1.000766419,1.017376807,1.038533156,1.010925882,1.005071374,1.011972845,1.008470831,2.080337542,1.002747252,1.353248084,1.34823539,1.038246836,1.035014818,1.131599514,0.23
MAR-26-22-00,1.067012761,1.015653772,1.00532239,1.00532239,1,1,1.158633815,1.01357537,1.124310408,1.024360227,1.019353214,1.020948758,1.517858491,1.522021316,1.040764022,1.013795576,1.088960558,1.07637672,1.210855662,1.02909744,1.015561129,1.015561129,1.006839125,1.006839125,1.142707214,1.188821981,1.105254792,1.048477906,1.030979111,1.030979111,2.880117444,2.40971737,1.164161525,1.206996326,1.131691676,1.003819722,1.051327761,1.040073701,1.01951557,1.009608668,1.000766419,1.000766419,1.010031064,1.017376807,1.008717053,1.005071374,1.011972845,1.011275038,2.080337542,2.080337542,1.411280164,1.001393323,1.005720039,1.035014818,1.169320995,0.37
MAR-27-17-00,1.200605484,1.002805788,1.041896659,1.002737901,1.110595616,1.012118439,1.161857273,1.27664384,1.275867625,1.182223985,1.011654463,1.027525892,2.585962154,1.151079748,1.031886348,1.259426808,1.089882149,1.097857703,1.164990902,1.058490925,1.020265657,1.015561129,1.017069057,1.006839125,1.078923214,1.206041856,1.04224733,1.034095258,1.211068757,1.028298813,3.236237253,1.142083456,1.289607281,1.250713312,1.131691676,1.11643036,1.042548652,1.051327761,1.189165173,1.01951557,1.000766419,1.000766419,1.016529542,1.010031064,1.009642122,1.005071374,1.345760513,1.001317458,2.080337542,1.002747252,1.440641875,1.852067947,1.038246836,1.035014818,1.198421881,0.40
MAR-27-17-30,1.015653772,1.038955312,1.00532239,1.00532239,1,1,1.166169506,1.103136575,1.105476006,1.182574433,1.092270279,1.092270279,2.199302696,1.133363499,1.034302261,1.107617063,1.085627234,1.261802902,1.108765698,1.100614951,1.005482024,1.005482024,1.001240977,1.006839125,1.085067552,1.106660706,1.123361628,1.105088737,1.036746308,1.311875565,3.214329778,3.28333808,1.357033859,1.357033859,1.508293174,1.438366444,1.11929162,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.245339656,1.016933835,1.041533854,1.005071374,1.026315042,1.009726817,1.875546273,1.45461743,1.411280164,1.662501528,1.315287154,1.532940058,1.251723401,0.46
MAR-27-19-30,1.002805788,1.002805788,1.002737901,1.002737901,1.012118439,1.012118439,1.196279707,1.19383686,1.191535356,1.00971484,1.012979317,1.247172677,1.391797733,2.468284738,1.040764022,1.08633722,1.091186132,1.093335748,1.128248131,1.124054846,1.005482024,1.005482024,1.006839125,1.001240977,1.085425083,1.112456394,1.099820114,1.110578876,1.115136507,1.131840719,1.94839557,3.81247804,1.289607281,1.267906338,1.206960876,1.095050523,1.040073701,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.017376807,1.016933835,1.008717053,1.005071374,1.016539273,1.018603384,1.002747252,3.022205538,1.411280164,1.001393323,1.023582651,1.035014818,1.209573759,0.51
MAR-27-20-00,1.002805788,1.015653772,1.00532239,1.00532239,1,1.089902131,1.163251997,1.016591995,1.047011571,1.028357442,1.026943187,1.01599035,1.151320913,2.468284738,1.011940583,1.020712162,1.091186132,1.004310506,1.02909744,1.02909744,1.005482024,1.005482024,1.001240977,1.019044635,1.085425083,1.079381073,1.092893359,1.024789826,1.112165891,1.030979111,3.218791012,3.298011943,1.403193291,1.250713312,1.268306678,1.274659334,1.051327761,1.051327761,1.009608668,1.034223953,1.008120655,1.019955533,1.028572076,1.004446495,1.011500275,1.029948887,1.011972845,1.017370626,2.080337542,2.080337542,1.353248084,1.001393323,1.038246836,1.035014818,1.208529929,0.49
MAR-28-10-00,1.142735368,1.015653772,1.011075123,1.00532239,1.153874666,1.020762846,1.091362103,1.174394916,1.02416655,1.428833514,1.108538817,1.520672951,1.727436469,1.599759999,1.029365474,1.024796091,1.089392796,1.25955297,1.252354355,1.020761049,1.25869124,1.09496281,1.305727653,1.102352876,1.189464688,1.086202493,1.828790822,1.098273893,1.112724019,1.106798235,2.11213591,1.63751214,1.267906338,1.185047906,1.04051799,1.236741716,1.325186485,1.141143917,1.164470474,1.334736645,1.162019748,1.010930292,1.016933835,1.018527547,1.076781957,1.02306155,1.195569735,1.017370626,2.215367338,1.002110835,1.411280164,1.353248084,1.038246836,1.038246836,1.220553627,0.27
MAR-28-16-00,1.015653772,1.015653772,1.105079562,1.00532239,1.077152016,1,1.13674275,1.17250877,1.122190572,1.015892844,1.164604304,1.173961149,2.393327138,1.151320913,1.016431505,1.099249546,1.17705821,1.392908549,1.638642606,1.02909744,1.354270385,1.005482024,1.200551563,1.001240977,1.354509888,1.086733718,1.401386622,1.471973084,1.286936734,1.316505374,4.070123414,2.228361405,1.68520406,1.326288206,1.347344932,1.643219463,1.141143917,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.022362776,1.016933835,1.008717053,1.005071374,1.353164881,1.019217798,2.080337542,1.693337199,2.194321924,1.34823539,1.038246836,1.189689879,1.31269633,0.51
MAR-28-17-00,1.015653772,1.015653772,1.00532239,1.00532239,1,1,1.097492652,1.165203905,1.04762121,1.025672183,1.014318735,1.008788799,1.493450748,1.519474203,1.018769749,1.109791736,1.091186132,1.093335748,1.128248131,1.02909744,1.022553117,1.015561129,1.006839125,1.006839125,1.297059056,1.188821981,1.048477906,1.048477906,1.030979111,1.036746308,1.802055052,2.11213591,1.522570475,1.135146651,2.167555271,1.310781806,1.051327761,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.010031064,1.245339656,1.008717053,1.008717053,1.011972845,1.011972845,1.002747252,1.876182689,1.006406016,1.346842068,1.023582651,1.023582651,1.15474661,0.28
MAR-28-19-00,1.015653772,1.015653772,1.039969067,1.00532239,1.040897615,1.456140302,1.090356767,1.162070731,1.169233951,1.09727605,1.161428213,1.086053959,1.390182021,2.201734709,1.016431505,1.026184,1.086810942,1.093929964,1.096771369,1.058490925,1.005482024,1.015561129,1.016075747,2.016930862,1.106228783,1.093738783,1.102757548,1.107822893,1.11767197,1.100692561,2.677500947,2.05498491,1.250202433,1.021700942,1.036859095,1.081065121,1.031897444,1.040073701,1.009608668,1.006094834,1.016526098,1.010702569,1.021823302,1.038533156,1.011500275,1.005071374,1.003825991,1.017370626,2.080337542,1.693337199,1.411280164,1.001393323,1.038246836,1.035014818,1.196083439,0.36
MAR-28-20-00,1.122113003,1.002805788,1.002737901,1.002737901,1,1,1.01830438,1.097051508,1.089157939,1.006800633,1.097007038,1.012397109,1.187788431,1.395734359,1.018304984,1.101155302,1.080347659,1.137218406,1.11389522,1.128549999,1.015561129,1.015561129,1.006839125,1.006839125,1.128104312,1.135270436,1.11389292,1.1344724,1.03838298,1.120497829,1.43825202,1.802911463,1.427067931,1.505120276,1.60467499,1.499429599,1.141143917,1.141143917,1.01951557,1.01951557,1.000766419,1.000766419,1.017376807,1.016933835,1.187779929,1.005071374,1.002804207,1.001317458,1.876182689,1.002110835,1.409886841,1.34823539,1.038246836,1.038246836,1.145815372,0.21
MAR-28-21-00,1.147339991,1.015653772,1.040799315,1.034744897,1.013342368,1.025469275,1.123490948,1.088459036,1.048915576,1.035618122,1.01941386,1.010182706,2.432137771,2.252310178,1.029287013,1.018304984,1.086810942,1.079936905,1.088730085,1.249987945,1.021204548,1.02538461,1.011677113,1.006839125,1.125728473,1.039803054,1.105791112,1.024500438,1.038283433,1.044517642,1.966331712,2.130072052,1.249484648,1.281232964,1.084786617,1.04051799,1.095091952,1.051327761,1.003224428,1.01951557,1.000766419,1.00988028,1.022762089,1.018288592,1.010925882,1.005071374,1.028191542,1.008961267,2.080337542,1.002747252,1.353248084,1.34823539,1.038246836,1.020350634,1.169523409,0.34
MAR-29-20-00,1.122113003,1.132789443,1.010403241,1.023114821,1.011595354,1.025791894,1.209668529,1.018971053,1.010626562,1.008328664,1.012613781,1.012768499,1.293120531,1.209578705,1.022893266,1.015250217,1.089392796,1.088942006,1.052142292,1.017298641,1.0112165,1.009422174,1.010899799,1.008568095,1.093896246,1.012904013,1.116585306,1.088309948,1.117712569,1.139287323,3.156179798,1.191145106,1.275187007,1.227783705,1.300979868,1.12792907,1.092239386,1.115031704,1.003224428,1.041032266,1.01997598,1.030160976,1.028572076,1.010392158,1.048068881,1.025930347,1.030153889,1.027074214,1.876182689,1.002747252,1.411280164,1.34823539,1.471513433,1.035014818,1.14615259,0.32
MAR-29-21-00,1.122113003,1.184680857,1.011075123,1.01658112,1.00471097,1.332434247,1.019594242,1.032127118,1.056599865,1.01576446,1.011086689,1.090764965,2.197132131,1.254676563,1.094986247,1.108081828,1.174930429,1.004352221,1.110548436,1.038693188,1.002039582,1.014622246,1.014282539,1.283261045,1.115575543,1.113959351,1.103586179,1.140509862,1.124366731,1.109565759,2.130072052,2.404043357,1.103398335,1.206996326,1.262569762,1.148299105,1.083406347,1.054689953,1.009747501,1.015265252,1.000766419,1.010301225,1.181420731,1.018288592,1.646526348,1.005071374,1.577230489,1.018603384,1.876182689,2.080337542,1.411280164,1.34823539,1.038246836,1.038246836,1.214294973,0.33
MAR-30-13-30,1.145918556,1.10223994,1.077289865,1.14188083,1,1.154935709,1.188852692,1.105058074,1.199956597,1.107725586,1.008432691,1.494231279,1.047604525,1.04830798,1.022874366,1.022874366,1.08777685,1.08777685,1.129620316,1.129620316,1.005482024,1.264906544,1.200551563,1.38420219,1.291733742,1.53074927,1.683585904,1.048477906,1.135142833,1.586543145,2.777224826,2.666530414,1.082610955,1.115641078,1.52190254,1.274941981,1.299389556,1.543063643,1.193878773,1.371028274,1.000766419,1.176882549,1.193293965,1.804051723,1.214887831,1.005071374,1.55687613,1.187560594,1.002747252,2.078226706,1.411280164,1.409886841,1.003232018,1.035014818,1.284450795,0.36
MAR-30-14-30,1.237169946,1.002805788,1.043479028,1.002737901,1.021363751,1.012118439,1.200594769,1.025984665,1.214332063,1.010873841,1.090412532,1.008450406,1.040426346,1,1.022825253,1.078154417,1.086810942,1.173500758,1.212885616,1.058490925,1.015561129,1.015561129,1.014000253,1.006839125,1.297752816,1.127894497,1.144383538,1.220870725,1.099331829,1.204092832,3.459134906,2.101974332,1.498438811,1.421339639,1.366397544,1.480499016,1.243821265,1.051327761,1.01951557,1.01951557,1.00988028,1.000766419,1.171994181,1.016933835,1.172591174,1.005071374,1.173695644,1.025074825,2.080337542,1.002747252,1.411280164,1.001393323,1.038246836,1.035014818,1.194383284,0.39
MAR-30-15-30,1.32521549,1.108545703,1.013479534,1.055650058,1,1.021514248,1.036140922,1.012404562,1.103032333,1.011155907,1.02909383,1.009659181,1.189404143,2.527510512,1.022903713,1.09668328,1.089392796,1.176697712,1.196621039,1.067653078,1.033963142,1.017997679,1.013117984,1.005739846,1.156683069,1.112023404,1.133705167,1.1130662,1.039447683,1.108922986,2.130072052,2.130072052,1.347559274,1,1.046813292,1.04051799,1.040073701,1.040073701,1.009608668,1.015593533,1.010212366,1.01959236,1.022217152,1.038533156,1.05576341,1.005071374,1.008409359,1.008961267,2.080337542,2.080337542,1.411280164,1.001393323,1.038246836,1.320109179,1.180153231,0.34
MAR-30-19-00,1.196409867,1.015653772,1.031935314,1.002737901,1.025503139,1,1.214232393,1.101760817,1.011634832,1.079679124,1.011158194,1.011470714,1.519474203,1.25212945,1.023339131,1.025168784,1.082482062,1.172769973,1.121722268,1.094585737,1.032791466,1.015561129,1.008673387,1.110268073,1.362815604,1.348748412,1.130205856,1.118616095,1.304964053,1.208068404,3.733257109,3.81247804,1.350939249,1.269191751,1.521619894,1.12792907,1.049198611,1.051327761,1.003224428,1.009608668,1.000766419,1.000766419,1.022362776,1.016933835,1.016506777,1.005071374,1.018119596,1.011765474,2.080337542,2.080337542,1.660979469,1.001393323,1.038246836,1.035014818,1.250961795,0.55
MAR-31-15-00,1.015653772,1.015653772,1.00532239,1.00532239,1,1,1.166169506,1.166169506,1.642326353,1.005027917,1.093381376,1.246579551,1.097281511,1.045988812,1.033856396,1.017072731,1.082049824,1.39465156,1.058490925,1.058490925,1.09496281,1.015561129,1.102352876,1.006839125,1.117078501,1.188394907,1.093030586,1.1130662,1.112165891,1.030979111,3.265040578,1.656298242,1.568856757,1.249809841,1.52190254,1.206960876,1.141143917,1.040073701,1.009608668,1.01951557,1.000766419,1.008120655,1.193293965,1.193293965,1.191885777,1.002882807,1.023910393,1.026315042,1.002747252,2.080337542,1.411280164,1.34823539,1.003232018,1.035014818,1.189341616,0.36
MAR-31-16-00,1.205820681,1.015653772,1.011589791,1.00532239,1.018051719,1,1.011820918,1.097087025,1.091844392,1.089481344,1.083365527,1.038899562,1.517858491,1.391797733,1.040764022,1.029268113,1.092888297,1.091186132,1.108765698,1.058490925,1.015561129,1.015561129,1.006839125,1.006839125,1.188885548,1.132932966,1.115822183,1.115822183,1.030979111,1.036746308,2.027616501,2.193473627,1.401025219,1.206996326,1.036859095,1.003819722,1.040073701,1.040073701,1.01951557,1.009608668,1.008120655,1.008120655,1.010031064,1.010031064,1.026354248,1.005071374,1.011972845,1.030153889,1.876182689,1.876182689,1.411280164,1.353248084,1.005720039,1.038246836,1.153994884,0.27
MAR-31-17-30,1.221795185,1.315993317,1.0105504,1.632647136,1.008296284,1.847114402,1.244445012,1.561518575,1.176917581,1.166536536,1.272361168,1.246756664,1.575850351,1.446420928,1.027394635,1.096422043,1.174482977,1.088942006,1.061250408,1.409340156,1.503144159,1.825013626,1.11885166,1.920840216,1.726258323,1.718188308,1.645493479,1.186812944,1.109191029,1.568362018,1.293595159,1.349393817,1.801089749,1.93915599,1.832862208,1.356582922,2.062257418,2.547660718,1.531422641,1.009608668,1.162019748,1.64328249,1.98594966,1.209313757,1.026354248,1.005071374,1.573391642,1.018664855,3.690490892,2.956869288,2.617268408,1.34823539,1.304745254,1.444353063,1.511422794,0.52
map mean,1.116347836,1.05423756,1.025396448,1.046003648,1.023999255,1.093285357,1.130005578,1.131177637,1.130508136,1.074644968,1.062342074,1.10870695,1.578250798,1.596960907,1.032525352,1.066251405,1.099533736,1.146534775,1.146951328,1.094049201,1.078969886,1.066117251,1.049826618,1.133588145,1.196320051,1.172292176,1.199238485,1.117536068,1.102610381,1.158677782,2.540998505,2.259773986,1.355064119,1.283127775,1.332656413,1.2295566,1.146874417,1.149593862,1.068168073,1.048359457,1.025969258,1.044344473,1.103546099,1.081523533,1.082610858,1.008034273,1.145536716,1.023828297,1.868329406,1.688804053,1.469591671,1.27848541,1.073695333,1.095125385,1.21178681,0.39
map st dev,0.10,0.08,0.03,0.13,0.04,0.20,0.07,0.12,0.14,0.10,0.07,0.15,0.47,0.54,0.02,0.06,0.03,0.10,0.12,0.09,0.14,0.18,0.08,0.29,0.15,0.16,0.22,0.09,0.08,0.16,0.80,0.81,0.18,0.19,0.29,0.17,0.22,0.33,0.12,0.10,0.06,0.14,0.21,0.18,0.14,0.01,0.20,0.04,0.60,0.63,0.34,0.23,0.12,0.15,0.39,