,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,20.54,18.85,25.85,26.46,16.26,21.53,21.00,45.51,24.32,18.41,19.15,16.96,22.48,16.34,19.79,19.87,20.13,19.79,16.46,29.07,25.92,26.91,18.80,11.42,10.27,14.19,15.17,35.35,18.23,20.76,31.20,20.35,21.75,16.50,12.74,11.73,20.84,6.92
MAR-26-18-00,6.79,15.01,24.80,1.75,17.26,29.16,25.13,23.43,24.59,36.64,25.77,35.94,8.65,10.27,8.93,10.65,21.66,22.89,15.67,29.62,30.00,24.38,30.39,22.53,11.10,10.22,7.82,9.80,12.35,15.74,9.90,16.83,20.10,17.00,19.56,22.76,18.75,8.68
MAR-26-22-00,14.95,13.87,13.93,9.56,47.74,23.62,24.18,16.89,37.26,22.85,30.78,43.43,14.10,6.68,8.64,7.02,8.07,12.72,39.42,7.90,42.02,31.87,14.97,12.00,12.67,5.55,8.73,6.64,8.80,9.60,8.84,11.10,12.66,11.62,16.40,14.55,17.55,11.82
MAR-27-11-00,15.41,11.30,11.95,34.53,38.97,24.91,40.25,24.90,23.40,30.41,29.74,24.98,26.33,20.54,16.86,18.50,43.96,30.50,48.08,15.92,33.26,34.35,67.81,27.23,13.80,10.50,21.22,11.93,36.90,21.56,24.42,13.91,11.32,13.73,18.31,15.43,25.20,12.42
MAR-27-12-00,13.10,11.60,10.75,9.87,13.36,11.24,14.77,10.19,12.35,13.33,12.94,13.56,14.58,20.63,11.36,7.84,11.07,8.45,11.64,11.18,18.83,14.50,18.50,15.60,13.10,15.52,10.66,8.00,13.33,5.50,10.79,7.56,9.27,7.52,6.53,8.77,11.88,3.43
MAR-27-16-00,10.00,17.45,23.84,19.80,47.40,24.16,26.10,25.00,34.37,25.33,39.05,30.66,23.90,19.34,6.85,9.81,24.42,12.94,15.72,14.24,44.80,22.46,40.18,27.55,9.04,7.79,16.73,6.47,19.15,16.23,18.83,17.51,24.03,17.90,18.42,22.20,21.66,10.11
MAR-27-17-00,34.03,20.00,52.60,23.05,49.62,29.81,59.36,43.88,33.71,32.17,27.51,46.02,30.72,9.23,43.77,8.11,30.94,23.01,49.34,14.06,16.63,41.87,22.97,37.89,15.88,17.48,23.84,9.43,20.73,24.98,26.69,15.34,17.27,17.66,14.20,13.23,27.70,13.54
MAR-27-17-30,13.61,13.86,16.43,9.69,29.12,24.96,28.53,14.64,29.58,36.10,16.40,30.23,9.37,13.63,9.20,26.10,24.86,21.84,17.64,30.53,24.54,21.26,32.86,27.46,9.87,8.75,10.06,9.53,16.53,9.90,17.50,14.37,22.55,37.81,24.94,27.63,20.33,8.55
MAR-27-19-30,9.33,18.86,12.08,16.73,29.13,26.30,22.84,40.97,31.80,46.67,18.91,26.71,20.23,15.60,16.21,15.79,22.60,25.81,23.08,20.28,35.93,23.31,25.76,36.56,9.36,8.13,9.35,8.64,14.83,7.46,10.87,15.96,14.97,14.01,17.60,12.92,20.16,9.60
MAR-27-20-00,11.46,13.94,11.26,24.19,28.10,29.21,33.17,19.60,32.01,45.00,37.93,28.52,11.00,12.03,13.03,22.78,22.30,24.96,14.97,17.65,41.91,26.72,32.63,24.24,9.23,13.51,12.42,7.60,13.04,14.06,9.33,10.92,9.23,15.76,14.43,16.05,20.12,9.98
MAR-27-21-00,15.63,71.72,30.28,35.88,33.04,41.19,33.37,43.60,19.34,30.79,24.63,46.20,18.38,24.48,13.23,20.56,27.52,24.31,29.35,20.50,20.80,29.53,24.91,42.38,14.17,9.40,13.14,14.79,37.07,13.95,17.09,16.30,18.83,19.03,17.56,6.66,25.54,12.79
MAR-27-21-30,51.60,33.30,40.83,59.78,38.13,39.73,40.04,41.96,23.56,48.27,26.79,45.00,20.57,30.42,21.31,40.23,46.27,23.34,47.47,35.50,27.84,56.72,18.91,30.06,16.50,31.23,13.83,15.73,17.11,16.61,12.53,14.70,30.37,20.94,18.00,4.10,30.54,13.81
MAR-27-22-30,29.00,29.19,24.49,30.46,87.05,38.89,39.16,35.38,22.24,26.75,47.59,47.71,99.78,39.80,35.90,6.66,26.60,30.69,28.92,58.77,41.81,52.92,52.86,59.47,12.87,12.17,22.68,23.58,34.52,32.01,24.49,29.72,23.35,25.56,23.47,26.40,35.64,18.79
MAR-28-10-00,20.01,14.14,17.31,23.73,32.35,28.54,51.83,31.56,41.73,44.50,21.90,22.76,20.26,17.16,30.84,15.50,33.69,30.74,26.65,15.90,21.91,35.73,14.03,13.36,11.92,13.41,15.10,9.88,15.93,10.77,13.12,13.67,17.53,11.83,15.80,9.50,21.79,10.50
MAR-28-14-00,9.76,5.49,10.04,6.52,17.30,21.44,21.32,18.14,21.82,25.57,22.39,21.78,17.30,17.22,20.41,27.66,18.74,58.17,20.30,41.07,21.21,74.74,35.63,42.78,16.28,12.40,42.13,11.53,23.80,13.00,12.33,21.56,39.33,33.27,46.40,51.00,25.55,15.35
MAR-28-16-00,17.62,8.61,18.52,7.46,15.66,21.44,34.33,29.09,33.15,26.23,23.34,23.25,14.47,7.93,10.30,7.37,33.00,22.59,30.57,17.72,33.27,24.66,33.38,20.93,9.89,6.11,7.16,6.06,11.34,10.73,16.66,14.91,21.63,33.03,12.19,14.36,18.86,9.27
MAR-28-17-00,6.43,4.41,5.40,5.18,10.96,11.73,11.85,11.24,10.40,10.24,10.46,10.33,7.30,6.10,10.02,5.57,9.23,6.93,8.04,7.40,32.86,12.08,23.91,32.16,6.26,5.00,5.83,4.96,6.71,9.11,7.07,7.11,7.22,6.73,5.93,7.85,9.72,6.59
MAR-28-19-00,24.27,23.55,30.50,36.07,22.59,34.28,20.36,32.13,16.93,23.24,21.99,25.34,16.69,18.13,18.49,40.67,19.21,17.59,20.97,17.29,30.96,19.76,19.85,29.25,10.97,14.64,9.88,18.24,10.26,12.30,12.03,15.40,11.34,14.07,13.90,13.61,20.47,7.76
MAR-28-20-00,10.30,9.27,9.23,15.69,47.03,13.66,17.67,14.73,21.89,12.27,28.63,16.02,8.53,7.32,6.83,11.61,20.66,11.62,11.13,12.27,31.07,29.50,33.66,24.03,6.49,5.76,7.10,6.19,11.63,8.36,8.73,9.76,7.15,24.06,18.44,10.45,15.24,9.42
MAR-28-21-00,20.44,27.16,51.00,24.93,38.71,48.77,59.66,29.06,27.76,25.37,21.66,27.66,36.27,17.30,18.40,15.75,33.53,26.30,37.02,33.43,52.90,27.40,30.68,19.26,28.07,19.95,19.18,15.46,26.77,10.53,28.41,17.52,26.49,18.96,14.37,19.07,27.64,11.37
MAR-29-18-00,34.31,24.84,40.64,18.40,66.55,59.93,43.65,85.77,32.10,61.50,48.88,44.32,23.77,27.53,22.50,23.73,37.21,62.09,37.34,26.93,65.10,27.69,60.18,38.54,26.54,16.50,16.32,9.77,16.53,20.13,23.12,27.73,24.21,23.73,42.88,25.93,35.75,17.79
MAR-29-20-00,11.37,13.02,12.91,14.82,20.57,20.04,22.96,26.40,23.33,39.84,27.50,48.77,17.85,17.51,21.63,28.40,29.92,36.53,24.29,49.08,54.45,44.59,47.54,38.70,13.34,9.34,20.71,13.00,11.73,11.61,14.93,16.70,12.06,15.63,34.01,14.31,24.43,12.81
MAR-29-21-00,22.73,37.64,30.29,45.06,39.14,45.29,55.44,39.72,45.08,48.03,29.02,29.93,18.28,37.53,17.43,28.75,41.87,42.41,51.99,25.43,58.67,29.47,78.01,37.80,22.69,12.17,15.14,13.23,19.18,17.57,23.30,23.12,23.99,20.64,34.87,17.91,32.75,14.69
MAR-30-13-30,18.28,59.18,21.27,51.57,56.05,85.52,43.40,74.48,43.14,62.06,62.83,26.15,21.15,26.45,24.20,22.40,67.54,19.73,51.31,70.23,75.25,36.65,44.06,36.67,30.71,16.53,28.55,23.40,38.75,59.05,36.55,44.60,17.70,11.30,26.67,11.58,40.14,20.28
MAR-30-14-30,17.26,29.08,27.97,15.74,21.95,17.67,19.92,26.31,18.35,26.10,24.16,16.04,23.53,12.33,25.30,12.96,30.62,23.91,21.48,27.13,35.81,39.99,26.03,53.37,14.37,12.32,12.33,23.06,14.00,15.83,18.50,24.57,42.42,27.24,23.66,17.18,23.29,9.02
MAR-30-15-30,50.12,38.04,22.48,54.92,39.40,25.66,41.31,52.43,28.27,48.30,22.05,34.03,41.26,27.01,32.05,27.19,32.64,25.85,30.17,34.70,25.05,29.17,32.36,26.66,21.20,23.10,22.23,18.74,24.58,17.37,26.47,25.26,18.91,19.23,17.49,19.18,29.86,10.12
MAR-30-19-00,22.96,16.99,25.24,25.69,34.78,26.62,30.91,33.00,24.78,42.51,42.77,20.72,29.47,16.50,21.35,20.40,43.91,18.75,30.61,23.86,36.16,24.83,23.80,26.99,14.49,11.30,13.27,9.49,16.14,8.50,18.49,10.84,21.76,12.07,13.44,14.76,23.00,9.47
MAR-31-11-00,13.52,4.94,11.90,13.70,29.65,16.98,4.47,13.68,25.60,18.21,38.68,19.63,7.78,8.13,7.40,18.33,8.98,11.48,8.56,17.67,10.06,22.44,10.54,5.86,4.98,5.35,4.74,5.76,4.40,5.22,4.32,19.75,8.83,10.78,10.01,4.47,12.13,7.97
MAR-31-12-00,16.55,11.30,11.60,10.89,12.31,16.31,16.94,16.41,10.78,15.34,14.34,18.30,10.50,6.75,10.46,9.78,9.11,10.78,10.40,9.28,31.01,13.92,13.27,16.34,5.14,3.94,4.83,4.69,5.15,6.37,5.19,6.36,12.78,7.80,12.30,8.88,11.28,5.26
MAR-31-15-00,10.47,47.96,13.27,29.68,49.60,48.11,26.50,26.36,26.75,26.90,26.57,48.87,24.07,10.01,26.04,7.99,20.57,26.53,16.83,44.38,53.27,16.55,45.80,18.86,14.41,8.08,14.14,6.85,11.35,11.48,21.30,17.38,9.33,8.93,16.64,9.20,23.36,14.10
MAR-31-16-00,15.36,9.11,23.00,6.66,15.36,14.97,14.94,13.95,14.38,11.37,13.35,14.06,9.91,9.01,16.19,7.71,19.03,12.96,12.34,9.23,33.15,12.17,19.27,11.43,8.11,5.14,7.47,6.52,12.27,8.38,7.30,9.95,11.86,12.40,13.54,9.80,12.55,5.27
MAR-31-17-30,36.40,52.39,53.20,38.60,47.70,40.03,63.85,53.09,23.11,67.45,36.99,44.49,21.60,36.76,23.73,29.51,29.59,31.46,75.35,28.97,61.78,41.33,61.62,131.72,28.14,34.83,19.61,31.76,23.16,49.39,20.64,25.50,64.48,26.96,36.40,33.21,42.36,21.43
MAR-28-15-00,44.18,33.21,29.05,32.58,20.04,35.35,25.88,35.25,24.77,43.76,18.13,24.68,27.03,21.54,12.99,19.93,28.27,43.60,17.79,24.01,28.28,29.51,45.62,26.24,14.71,12.06,18.22,13.11,13.12,17.28,13.73,41.39,11.24,23.63,10.25,19.41,25.00,10.28
map mean,19.49,22.69,22.96,23.35,34.15,30.05,31.54,31.67,26.18,32.74,27.96,29.64,21.57,17.68,18.40,17.98,27.17,24.30,27.60,25.54,36.51,30.30,32.97,31.22,14.12,12.51,14.73,12.69,17.70,16.06,16.90,17.38,19.84,17.93,19.72,16.08,23.31,14.31
map st dev,11.27,16.44,13.00,15.10,17.26,15.54,15.09,17.54,8.81,15.30,11.57,11.99,16.46,9.42,8.95,9.66,12.81,12.47,15.89,14.89,15.26,13.56,16.79,22.11,6.79,7.11,7.85,7.69,9.07,11.68,8.08,7.76,11.79,7.81,9.74,9.39,14.31,