"16x4,16x8,13x8,13x9,11x9,11x10,10x10,10x13,4x13,4x16","16x4,4x4,4x16","16x4,16x17,4x17,4x16","16x4,16x16,4x16","16x4,16x8,11x8,11x11,6x11,6x16,4x16","16x4,4x4,4x16","16x4,15x4,15x5,13x5,13x6,6x6,6x12,5x12,5x13,4x13,4x14,3x14,3x15,4x15,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,4x4,4x16","16x4,16x3,4x3,4x16","16x4,16x9,15x9,15x15,14x15,14x16,4x16","16x4,4x4,4x16","16x4,16x2,3x2,3x16,4x16","16x4,8x4,8x5,7x5,7x6,6x6,6x13,5x13,5x14,4x14,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x15,4x15,4x16","16x4,6x4,6x13,3x13,3x16,4x16","16x4,16x10,17x10,17x15,4x15,4x16","16x4,16x15,4x15,4x16","16x4,16x15,4x15,4x16","16x4,16x8,4x8,4x16","16x4,14x4,14x5,13x5,13x7,12x7,12x9,11x9,11x10,10x10,10x11,7x11,7x13,6x13,6x15,4x15,4x16","16x4,16x6,15x6,15x7,14x7,14x8,13x8,13x9,11x9,11x10,10x10,10x13,9x13,9x14,6x14,6x13,4x13,4x16","16x4,15x4,15x5,13x5,13x9,6x9,6x16,4x16","16x4,16x16,4x16","16x4,16x7,14x7,14x8,13x8,13x9,11x9,11x10,8x10,8x11,7x11,7x12,6x12,6x13,5x13,5x14,4x14,4x16","16x4,16x16,4x16","16x4,16x7,12x7,12x9,11x9,11x13,9x13,9x16,4x16","16x4,15x4,15x3,13x3,13x2,12x2,12x1,7x1,7x2,6x2,6x5,5x5,5x9,4x9,4x16","16x4,16x16,4x16"
"16x4,16x5,9x5,9x8,8x8,8x9,7x9,7x12,6x12,6x13,5x13,5x14,4x14,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,12x4,12x5,5x5,5x11,4x11,4x16","16x4,4x4,4x16","16x4,4x4,4x16","16x4,15x4,15x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,13x4,13x3,4x3,4x16","16x4,17x4,17x8,16x8,16x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,15x4,15x5,14x5,14x6,13x6,13x7,12x7,12x8,11x8,11x9,10x9,10x10,9x10,9x11,8x11,8x13,7x13,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x9,4x9,4x16","16x4,14x4,14x14,5x14,5x16,4x16","16x4,16x5,15x5,15x12,14x12,14x13,13x13,13x14,9x14,9x16,4x16","16x4,4x4,4x16","16x4,16x5,15x5,15x10,14x10,14x13,13x13,13x14,9x14,9x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x3,9x3,9x5,5x5,5x7,4x7,4x12,6x12,6x13,4x13,4x16","16x4,16x16,4x16"
"16x4,14x4,14x8,12x8,12x12,11x12,11x13,8x13,8x16,4x16","16x4,16x15,4x15,4x16","16x4,16x16,4x16","16x4,16x14,4x14,4x16","16x4,16x11,8x11,8x15,4x15,4x16","16x4,4x4,4x16","16x4,15x4,15x10,14x10,14x11,13x11,13x12,7x12,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x7,15x7,15x11,13x11,13x14,12x14,12x17,10x17,10x16,4x16","16x4,16x17,4x17,4x16","16x4,16x15,4x15,4x16","16x4,16x5,15x5,15x6,14x6,14x7,13x7,13x8,12x8,12x9,11x9,11x10,10x10,10x13,9x13,9x14,8x14,8x15,7x15,7x16,4x16","16x4,16x3,13x3,13x4,6x4,6x11,5x11,5x12,4x12,4x16","16x4,16x16,4x16","16x4,8x4,8x14,4x14,4x16","16x4,4x4,4x16","16x4,10x4,10x16,4x16","16x4,16x15,4x15,4x16","16x4,16x15,5x15,5x16,4x16","16x4,16x15,4x15,4x16","16x4,3x4,3x16,4x16","16x4,12x4,12x6,11x6,11x7,10x7,10x10,4x10,4x16","16x4,15x4,15x5,5x5,5x11,4x11,4x16","16x4,16x10,10x10,10x15,4x15,4x16","16x4,4x4,4x16","16x4,16x9,15x9,15x10,12x10,12x11,11x11,11x12,9x12,9x13,7x13,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x16,4x16","16x4,16x14,11x14,11x15,10x15,10x16,4x16","16x4,16x15,13x15,13x16,4x16","16x4,16x8,11x8,11x9,10x9,10x12,9x12,9x15,4x15,4x16"
"16x4,16x7,13x7,13x10,10x10,10x13,7x13,7x15,4x15,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x6,13x6,13x8,4x8,4x16","16x4,0x4,0x17,1x17,1x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x5,15x5,15x6,14x6,14x9,11x9,11x12,10x12,10x13,7x13,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x8,14x8,14x15,4x15,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,15x4,15x5,14x5,14x6,13x6,13x8,12x8,12x9,11x9,11x10,10x10,10x11,9x11,9x12,8x12,8x13,7x13,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,7x4,7x14,4x14,4x16","16x4,4x4,4x16","16x4,16x9,4x9,4x16","16x4,16x14,5x14,5x16,4x16","16x4,16x3,3x3,3x16,4x16","16x4,4x4,4x16","16x4,16x5,15x5,15x6,14x6,14x9,10x9,10x11,9x11,9x12,6x12,6x14,5x14,5x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x0,0x0,0x17,4x17,4x16","16x4,16x16,4x16"
"16x4,16x5,14x5,14x7,12x7,12x9,7x9,7x12,4x12,4x16","16x4,16x15,4x15,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,14x4,14x12,5x12,5x16,4x16","16x4,4x4,4x16","16x4,14x4,14x8,13x8,13x10,12x10,12x11,11x11,11x13,10x13,10x15,9x15,9x17,5x17,5x16,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,13x4,13x3,12x3,12x4,4x4,4x16","16x4,16x16,9x16,9x17,5x17,5x16,4x16","16x4,16x16,4x16","16x4,17x4,17x17,4x17,4x16","16x4,12x4,12x5,11x5,11x6,10x6,10x7,7x7,7x8,6x8,6x13,5x13,5x15,4x15,4x16","16x4,16x3,4x3,4x16","16x4,16x16,4x16","16x4,15x4,15x5,14x5,14x7,12x7,12x8,11x8,11x10,10x10,10x12,9x12,9x13,7x13,7x14,5x14,5x15,4x15,4x16","16x4,16x16,4x16","16x4,13x4,13x8,4x8,4x16","16x4,17x4,17x17,4x17,4x16","16x4,16x10,15x10,15x13,13x13,13x15,4x15,4x16","16x4,16x15,4x15,4x16","16x4,16x16,4x16","16x4,16x9,6x9,6x13,4x13,4x16","16x4,16x16,4x16","16x4,14x4,14x5,13x5,13x13,4x13,4x16","16x4,4x4,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,14x4,14x13,12x13,12x16,4x16","16x4,16x8,15x8,15x10,14x10,14x15,12x15,12x16,4x16","16x4,14x4,14x12,8x12,8x16,4x16"
"16x4,15x4,15x5,12x5,12x6,9x6,9x10,7x10,7x12,4x12,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,16x6,5x6,5x8,4x8,4x16","16x4,1x4,1x16,4x16","16x4,4x4,4x16","16x4,16x16,4x16","16x4,4x4,4x16","16x4,3x4,3x16,4x16","16x4,16x5,15x5,15x7,14x7,14x9,12x9,12x10,11x10,11x11,5x11,5x16,4x16","16x4,16x3,20x3,20x15,7x15,7x16,4x16","16x4,4x4,4x16","16x4,16x12,4x12,4x16","16x4,16x5,15x5,15x6,14x6,14x7,13x7,13x8,12x8,12x9,11x9,11x10,10x10,10x11,9x11,9x12,8x12,8x13,7x13,7x14,6x14,6x15,5x15,5x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,20x4,20x16,19x16,19x17,18x17,18x18,15x18,15x17,4x17,4x16","16x4,16x16,4x16","16x4,9x4,9x16,4x16","16x4,16x16,4x16","16x4,16x7,9x7,9x15,4x15,4x16","16x4,16x6,5x6,5x7,4x7,4x8,1x8,1x17,4x17,4x16","16x4,16x3,4x3,4x4,3x4,3x16,4x16","16x4,4x4,4x16","16x4,16x5,14x5,14x6,11x6,11x7,10x7,10x8,6x8,6x10,5x10,5x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,16x16,4x16","16x4,20x4,20x17,19x17,19x16,18x16,18x18,15x18,15x20,6x20,6x19,2x19,2x16,4x16","16x4,13x4,13x7,10x7,10x16,4x16"
"16x4,15x4,15x7,9x7,9x9,7x9,7x12,4x12,4x16","16x4,16x6,14x6,14x10,10x10,10x15,8x15,8x16,7x16,7x17,5x17,5x16,4x16","16x4,17x4,17x15,15x15,15x16,7x16,7x17,4x17,4x16","16x4,16x6,11x6,11x5,4x5,4x16","16x4,15x4,15x7,14x7,14x10,9x10,9x11,7x11,7x13,4x13,4x16","16x4,16x2,11x2,11x5,4x5,4x16","16x4,16x7,15x7,15x12,16x12,16x14,14x14,14x15,12x15,12x16,7x16,7x17,5x17,5x16,4x16","16x4,15x4,15x12,16x12,16x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,15x4,15x2,11x2,11x5,4x5,4x16","16x4,16x6,15x6,15x12,16x12,16x13,14x13,14x16,7x16,7x17,4x17,4x16","16x4,16x2,10x2,10x3,11x3,11x4,8x4,8x5,4x5,4x16","16x4,16x6,15x6,15x12,16x12,16x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,15x4,15x6,12x6,12x16,7x16,7x17,4x17,4x16","16x4,16x6,15x6,15x11,14x11,14x16,7x16,7x17,4x17,4x16","16x4,14x4,14x2,11x2,11x4,8x4,8x5,6x5,6x13,5x13,5x14,4x14,4x16","16x4,16x6,11x6,11x5,4x5,4x16","16x4,16x7,15x7,15x11,14x11,14x13,11x13,11x15,9x15,9x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x11,14x11,14x16,7x16,7x17,4x17,4x16","16x4,16x6,14x6,14x10,10x10,10x12,4x12,4x16","16x4,16x6,12x6,12x10,10x10,10x13,8x13,8x14,4x14,4x16","16x4,16x2,11x2,11x5,4x5,4x8,2x8,2x12,4x12,4x16","16x4,16x7,14x7,14x15,12x15,12x14,10x14,10x15,8x15,8x14,4x14,4x16","16x4,15x4,15x10,10x10,10x13,6x13,6x16,4x16","16x4,16x2,12x2,12x5,4x5,4x16","16x4,15x4,15x2,11x2,11x4,10x4,10x5,4x5,4x16","16x4,16x6,15x6,15x10,9x10,9x11,8x11,8x14,6x14,6x16,4x16","16x4,16x6,14x6,14x16,8x16,8x14,4x14,4x16","16x4,16x6,17x6,17x15,15x15,15x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x11,14x11,14x13,11x13,11x14,10x14,10x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,15x4,15x12,16x12,16x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x10,10x10,10x12,6x12,6x16,4x16","16x4,16x6,14x6,14x10,15x10,15x12,16x12,16x14,14x14,14x15,12x15,12x16,7x16,7x17,5x17,5x16,4x16","16x4,16x7,12x7,12x12,6x12,6x16,4x16"
"16x4,15x4,15x6,12x6,12x5,8x5,8x6,7x6,7x9,6x9,6x14,4x14,4x16","16x4,15x4,15x2,12x2,12x5,7x5,7x13,4x13,4x16","16x4,16x7,6x7,6x16,4x16","16x4,16x7,15x7,15x11,11x11,11x15,9x15,9x13,8x13,8x14,4x14,4x16","16x4,15x4,15x6,13x6,13x8,11x8,11x9,4x9,4x16","16x4,15x4,15x9,3x9,3x15,4x15,4x16","16x4,15x4,15x11,14x11,14x13,11x13,11x12,10x12,10x13,9x13,9x15,8x15,8x16,7x16,7x17,6x17,6x18,4x18,4x16","16x4,15x4,15x8,13x8,13x10,10x10,10x12,9x12,9x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,15x4,15x2,12x2,12x4,8x4,8x5,4x5,4x16","16x4,16x7,15x7,15x11,10x11,10x12,4x12,4x16","16x4,15x4,15x2,11x2,11x5,8x5,8x6,7x6,7x8,5x8,5x9,4x9,4x14,1x14,1x16,3x16,3x17,4x17,4x16","16x4,15x4,15x6,13x6,13x7,7x7,7x10,5x10,5x12,4x12,4x16","16x4,16x7,15x7,15x8,13x8,13x11,10x11,10x12,9x12,9x15,8x15,8x16,7x16,7x17,6x17,6x18,4x18,4x16","16x4,16x2,11x2,11x4,8x4,8x7,6x7,6x16,4x16","16x4,16x7,14x7,14x9,13x9,13x11,10x11,10x12,4x12,4x16","16x4,17x4,17x9,15x9,15x11,10x11,10x10,5x10,5x12,4x12,4x16","16x4,16x7,14x7,14x10,11x10,11x15,8x15,8x16,7x16,7x17,6x17,6x18,4x18,4x16","16x4,16x7,15x7,15x8,14x8,14x11,11x11,11x15,8x15,8x16,7x16,7x17,6x17,6x18,4x18,4x16","16x4,16x7,14x7,14x9,13x9,13x10,10x10,10x13,9x13,9x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x8,11x8,11x7,7x7,7x13,5x13,5x16,4x16","16x4,15x4,15x8,13x8,13x10,7x10,7x13,4x13,4x16","16x4,15x4,15x11,10x11,10x13,5x13,5x16,4x16","16x4,15x4,15x11,11x11,11x12,4x12,4x16","16x4,15x4,15x11,10x11,10x10,4x10,4x16","16x4,16x7,5x7,5x9,4x9,4x16","16x4,16x7,15x7,15x8,14x8,14x9,13x9,13x10,10x10,10x13,4x13,4x16","16x4,15x4,15x11,11x11,11x16,7x16,7x17,4x17,4x16","16x4,16x7,17x7,17x15,18x15,18x16,7x16,7x17,4x17,4x16","16x4,16x6,15x6,15x8,13x8,13x10,10x10,10x13,9x13,9x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,15x4,15x12,16x12,16x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x10,12x10,12x14,11x14,11x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,15x4,15x11,14x11,14x13,16x13,16x14,17x14,17x15,15x15,15x17,11x17,11x19,7x19,7x20,6x20,6x18,4x18,4x16","16x4,16x7,13x7,13x11,10x11,10x13,4x13,4x16"
"16x4,16x6,12x6,12x11,10x11,10x12,7x12,7x13,4x13,4x16","16x4,16x6,12x6,12x9,4x9,4x16","16x4,16x6,12x6,12x5,4x5,4x16","16x4,15x4,15x2,11x2,11x5,4x5,4x9,6x9,6x15,4x15,4x16","16x4,16x6,15x6,15x11,12x11,12x10,9x10,9x11,6x11,6x14,4x14,4x16","16x4,15x4,15x6,12x6,12x5,6x5,6x2,4x2,4x16","16x4,14x4,14x2,11x2,11x5,4x5,4x9,3x9,3x15,4x15,4x16","16x4,16x7,13x7,13x10,10x10,10x16,7x16,7x17,4x17,4x16","16x4,16x2,11x2,11x5,4x5,4x16","16x4,16x7,12x7,12x12,4x12,4x16","16x4,16x6,12x6,12x9,6x9,6x10,5x10,5x12,3x12,3x15,4x15,4x16","16x4,16x6,12x6,12x11,11x11,11x16,7x16,7x17,4x17,4x16","16x4,17x4,17x15,15x15,15x16,7x16,7x17,4x17,4x16","16x4,15x4,15x9,7x9,7x10,6x10,6x16,4x16","16x4,14x4,14x2,13x2,13x4,7x4,7x3,4x3,4x16","16x4,15x4,15x6,11x6,11x5,4x5,4x16","16x4,16x7,12x7,12x11,10x11,10x12,6x12,6x16,4x16","16x4,17x4,17x12,16x12,16x13,15x13,15x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,16x7,13x7,13x11,10x11,10x10,9x10,9x11,8x11,8x12,7x12,7x13,6x13,6x16,4x16","16x4,16x6,12x6,12x9,7x9,7x10,6x10,6x13,4x13,4x16","16x4,15x4,15x11,12x11,12x12,7x12,7x13,6x13,6x16,4x16","16x4,16x7,15x7,15x11,11x11,11x12,4x12,4x16","16x4,15x4,15x6,12x6,12x9,7x9,7x11,6x11,6x14,4x14,4x16","16x4,15x4,15x11,12x11,12x9,4x9,4x16","16x4,16x6,12x6,12x4,11x4,11x5,4x5,4x16","16x4,16x7,15x7,15x8,13x8,13x11,11x11,11x14,10x14,10x16,7x16,7x17,5x17,5x16,4x16","16x4,16x6,15x6,15x11,12x11,12x12,4x12,4x16","16x4,16x6,17x6,17x15,15x15,15x16,7x16,7x17,5x17,5x16,4x16","16x4,16x7,15x7,15x11,11x11,11x16,7x16,7x17,5x17,5x16,4x16","16x4,19x4,19x11,20x11,20x18,12x18,12x19,7x19,7x20,6x20,6x18,4x18,4x16","16x4,16x7,15x7,15x11,11x11,11x16,7x16,7x17,4x17,4x16","16x4,16x6,15x6,15x12,16x12,16x14,14x14,14x16,7x16,7x17,5x17,5x16,4x16","16x4,16x6,12x6,12x9,7x9,7x13,6x13,6x16,4x16"
"16x4,15x4,15x11,10x11,10x13,4x13,4x16","16x4,15x4,15x11,14x11,14x16,7x16,7x17,4x17,4x16","16x4,15x4,15x7,6x7,6x16,4x16","16x4,16x6,12x6,12x5,4x5,4x16","16x4,16x6,13x6,13x10,9x10,9x12,6x12,6x13,4x13,4x16","16x4,16x7,5x7,5x9,4x9,4x16","16x4,16x3,15x3,15x2,13x2,13x4,12x4,12x5,4x5,4x16","16x4,16x7,13x7,13x6,11x6,11x5,7x5,7x13,4x13,4x16","16x4,15x4,15x7,7x7,7x13,4x13,4x16","16x4,15x4,15x9,4x9,4x16","16x4,16x6,14x6,14x8,13x8,13x9,6x9,6x10,5x10,5x12,6x12,6x13,4x13,4x16","16x4,16x7,15x7,15x11,10x11,10x16,7x16,7x17,4x17,4x16","16x4,15x4,15x7,13x7,13x9,9x9,9x10,7x10,7x13,4x13,4x16","16x4,15x4,15x6,11x6,11x5,4x5,4x8,1x8,1x13,2x13,2x16,3x16,3x17,4x17,4x16","16x4,16x7,9x7,9x10,4x10,4x16","16x4,15x4,15x7,13x7,13x9,9x9,9x10,5x10,5x12,4x12,4x16","16x4,16x7,9x7,9x13,4x13,4x16","16x4,15x4,15x11,14x11,14x16,7x16,7x17,4x17,4x16","16x4,16x7,13x7,13x9,9x9,9x11,7x11,7x13,4x13,4x16","16x4,15x4,15x6,12x6,12x7,7x7,7x13,5x13,5x14,4x14,4x16","16x4,16x7,15x7,15x9,14x9,14x13,11x13,11x12,4x12,4x16","16x4,16x7,15x7,15x11,10x11,10x13,4x13,4x16","16x4,15x4,15x7,7x7,7x11,6x11,6x13,4x13,4x16","16x4,16x7,17x7,17x9,16x9,16x10,15x10,15x11,12x11,12x12,6x12,6x15,4x15,4x16","16x4,15x4,15x9,7x9,7x13,4x13,4x16","16x4,15x4,15x6,14x6,14x8,13x8,13x9,9x9,9x10,7x10,7x13,4x13,4x16","16x4,17x4,17x7,7x7,7x13,4x13,4x16","16x4,16x7,17x7,17x15,15x15,15x16,7x16,7x17,5x17,5x16,4x16","16x4,15x4,15x7,17x7,17x10,15x10,15x11,10x11,10x12,7x12,7x13,4x13,4x16","16x4,16x7,7x7,7x13,4x13,4x16","16x4,16x6,15x6,15x10,12x10,12x14,11x14,11x15,8x15,8x16,7x16,7x17,4x17,4x16","16x4,16x3,15x3,15x2,11x2,11x5,7x5,7x13,4x13,4x16","16x4,16x7,12x7,12x12,8x12,8x14,4x14,4x16"
"16x4,15x4,15x8,13x8,13x11,10x11,10x13,4x13,4x16","16x4,16x7,15x7,15x10,6x10,6x16,4x16","16x4,15x4,15x6,12x6,12x7,5x7,5x9,4x9,4x16","16x4,16x7,15x7,15x8,14x8,14x10,10x10,10x12,4x12,4x16","16x4,16x6,15x6,15x11,10x11,10x16,7x16,7x17,5x17,5x16,4x16","16x4,16x7,15x7,15x9,4x9,4x16","16x4,16x6,15x6,15x9,14x9,14x10,13x10,13x11,10x11,10x12,4x12,4x16","16x4,16x6,11x6,11x5,4x5,4x16","16x4,16x6,15x6,15x11,10x11,10x13,6x13,6x16,4x16","16x4,16x7,12x7,12x12,4x12,4x16","16x4,16x7,15x7,15x11,14x11,14x16,7x16,7x17,4x17,4x16","16x4,16x6,14x6,14x16,11x16,11x17,8x17,8x16,7x16,7x17,5x17,5x16,4x16","16x4,17x4,17x14,14x14,14x16,7x16,7x17,4x17,4x16","16x4,15x4,15x8,13x8,13x11,12x11,12x12,9x12,9x11,6x11,6x13,4x13,4x16","16x4,16x2,11x2,11x5,6x5,6x13,4x13,4x16","16x4,16x3,15x3,15x2,12x2,12x4,11x4,11x5,4x5,4x16","16x4,16x7,14x7,14x9,12x9,12x10,9x10,9x13,6x13,6x16,4x16","16x4,17x4,17x15,15x15,15x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x10,13x10,13x11,12x11,12x12,11x12,11x16,7x16,7x17,4x17,4x16","16x4,15x4,15x7,14x7,14x10,13x10,13x11,12x11,12x12,8x12,8x13,6x13,6x16,4x16","16x4,16x7,13x7,13x11,11x11,11x17,8x17,8x16,7x16,7x17,4x17,4x16","16x4,15x4,15x11,10x11,10x13,5x13,5x16,4x16","16x4,16x7,15x7,15x10,10x10,10x12,7x12,7x13,5x13,5x16,4x16","16x4,16x6,15x6,15x9,4x9,4x16","16x4,17x4,17x7,11x7,11x9,6x9,6x13,5x13,5x16,4x16","16x4,16x6,12x6,12x7,9x7,9x13,6x13,6x16,4x16","16x4,16x7,13x7,13x10,10x10,10x13,4x13,4x16","16x4,16x7,17x7,17x15,15x15,15x16,11x16,11x15,8x15,8x14,7x14,7x15,6x15,6x16,4x16","16x4,16x7,12x7,12x8,11x8,11x9,9x9,9x11,8x11,8x12,7x12,7x13,5x13,5x16,4x16","16x4,15x4,15x6,12x6,12x5,4x5,4x16","16x4,15x4,15x10,11x10,11x16,7x16,7x17,4x17,4x16","16x4,16x7,15x7,15x12,16x12,16x13,14x13,14x16,8x16,8x14,7x14,7x15,4x15,4x16","16x4,16x7,13x7,13x11,10x11,10x13,6x13,6x16,4x16"
